iter	Passed	Remaining
0	17	17277
1	23	11799
2	30	10214
3	39	9832
4	45	9079
5	52	8631
6	57	8152
7	61	7684
8	66	7355
9	70	6994
10	75	6794
11	80	6609
12	84	6449
13	89	6287
14	92	6097
15	96	5944
16	102	5931
17	107	5879
18	112	5799
19	119	5848
20	126	5874
21	133	5924
22	139	5929
23	145	5936
24	152	5945
25	158	5933
26	162	5857
27	167	5805
28	174	5845
29	181	5868
30	188	5885
31	196	5944
32	202	5939
33	210	5973
34	218	6014
35	225	6046
36	233	6067
37	240	6086
38	247	6107
39	255	6125
40	262	6145
41	269	6152
42	277	6165
43	282	6141
44	287	6101
45	291	6042
46	295	5993
47	299	5945
48	305	5935
49	310	5903
50	317	5903
51	321	5854
52	325	5810
53	329	5774
54	334	5751
55	340	5742
56	345	5721
57	351	5716
58	357	5698
59	362	5681
60	368	5669
61	373	5646
62	377	5618
63	382	5590
64	386	5560
65	391	5544
66	395	5508
67	399	5475
68	404	5458
69	407	5420
70	411	5385
71	416	5370
72	421	5352
73	425	5322
74	430	5303
75	434	5284
76	438	5253
77	441	5216
78	445	5197
79	450	5178
80	455	5163
81	459	5146
82	464	5136
83	469	5122
84	473	5094
85	478	5081
86	482	5067
87	487	5050
88	491	5032
89	496	5017
90	499	4988
91	503	4973
92	507	4950
93	511	4931
94	515	4913
95	519	4890
96	523	4869
97	527	4851
98	530	4829
99	534	4812
100	538	4796
101	543	4783
102	546	4762
103	550	4746
104	555	4732
105	559	4720
106	564	4709
107	568	4694
108	572	4679
109	576	4666
110	581	4656
111	585	4638
112	588	4620
113	592	4608
114	596	4589
115	600	4573
116	604	4558
117	606	4535
118	611	4524
119	615	4510
120	618	4496
121	623	4483
122	626	4468
123	630	4454
124	634	4442
125	638	4430
126	642	4419
127	645	4398
128	649	4384
129	653	4372
130	657	4360
131	661	4351
132	665	4339
133	669	4328
134	672	4308
135	676	4294
136	679	4282
137	683	4272
138	687	4261
139	692	4253
140	696	4243
141	700	4231
142	704	4221
143	707	4206
144	711	4194
145	713	4174
146	718	4166
147	721	4155
148	726	4147
149	730	4136
150	733	4123
151	736	4107
152	740	4098
153	744	4091
154	748	4082
155	752	4068
156	754	4051
157	759	4045
158	763	4035
159	767	4028
160	771	4020
161	774	4005
162	777	3993
163	781	3985
164	784	3971
165	789	3964
166	793	3956
167	797	3948
168	801	3940
169	805	3933
170	809	3922
171	812	3913
172	817	3905
173	821	3900
174	825	3893
175	829	3882
176	832	3872
177	836	3864
178	840	3856
179	845	3850
180	849	3843
181	852	3829
182	855	3820
183	860	3814
184	864	3807
185	868	3800
186	872	3793
187	875	3782
188	880	3777
189	883	3767
190	886	3753
191	890	3748
192	895	3743
193	899	3736
194	904	3731
195	908	3727
196	912	3718
197	916	3710
198	920	3704
199	923	3695
200	927	3687
201	932	3683
202	936	3676
203	939	3667
204	943	3660
205	948	3655
206	953	3652
207	956	3642
208	961	3638
209	965	3633
210	970	3629
211	975	3625
212	979	3620
213	983	3613
214	988	3608
215	992	3603
216	996	3595
217	1000	3590
218	1005	3584
219	1008	3575
220	1012	3570
221	1017	3565
222	1021	3558
223	1025	3553
224	1030	3548
225	1034	3542
226	1039	3539
227	1044	3534
228	1048	3529
229	1051	3521
230	1057	3519
231	1062	3518
232	1068	3517
233	1074	3517
234	1080	3517
235	1086	3516
236	1092	3515
237	1097	3512
238	1101	3506
239	1106	3502
240	1110	3497
241	1114	3492
242	1119	3488
243	1123	3479
244	1127	3474
245	1131	3467
246	1136	3465
247	1141	3461
248	1146	3457
249	1151	3455
250	1156	3450
251	1161	3446
252	1165	3441
253	1170	3438
254	1175	3435
255	1179	3426
256	1184	3423
257	1189	3421
258	1194	3418
259	1200	3416
260	1205	3413
261	1209	3405
262	1214	3403
263	1220	3401
264	1225	3397
265	1230	3394
266	1235	3392
267	1240	3389
268	1246	3386
269	1252	3386
270	1257	3383
271	1263	3381
272	1269	3381
273	1274	3377
274	1279	3373
275	1285	3371
276	1290	3367
277	1296	3366
278	1302	3366
279	1307	3362
280	1310	3353
281	1316	3351
282	1321	3347
283	1326	3344
284	1332	3341
285	1337	3338
286	1342	3334
287	1347	3331
288	1352	3328
289	1357	3324
290	1362	3320
291	1368	3317
292	1372	3312
293	1377	3307
294	1381	3302
295	1386	3297
296	1390	3292
297	1395	3286
298	1399	3281
299	1404	3277
300	1409	3272
301	1414	3268
302	1418	3263
303	1423	3259
304	1428	3254
305	1432	3249
306	1437	3244
307	1442	3240
308	1446	3235
309	1451	3230
310	1455	3225
311	1460	3220
312	1465	3215
313	1469	3209
314	1473	3204
315	1478	3200
316	1483	3195
317	1487	3189
318	1492	3185
319	1496	3180
320	1501	3175
321	1505	3170
322	1510	3166
323	1515	3161
324	1519	3156
325	1524	3152
326	1528	3146
327	1533	3141
328	1537	3136
329	1542	3131
330	1547	3128
331	1552	3123
332	1557	3118
333	1561	3114
334	1566	3110
335	1570	3104
336	1575	3098
337	1579	3093
338	1583	3087
339	1587	3082
340	1591	3076
341	1596	3070
342	1600	3065
343	1604	3059
344	1608	3053
345	1612	3048
346	1616	3042
347	1621	3037
348	1626	3033
349	1630	3027
350	1634	3021
351	1638	3016
352	1642	3010
353	1646	3004
354	1650	2999
355	1654	2993
356	1658	2987
357	1662	2981
